identifier,title,status,plannedOpeningDate,firstDeadline,allDeadlines,destination,workProgrammePart,typeOfAction,typeOfMGAs,submissionSystem,url
"HORIZON-CL5-2026-01-D2-01","Development of sustainable and design-to-cost batteries with (energy-)efficient manufacturing processes and based on advanced and safer materials (Batt4EU Partnership)","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D2-01"
"HORIZON-CL5-2026-01-D5-17","Real time monitoring of regulated and non-regulated emissions from all types of vessels and other port activities in order to enforce emission limits in waterfront cities","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D5-17"
"HORIZON-CL5-2026-01-D6-05","Approaches, verification and training for Edge-AI building blocks for CCAM Systems (CCAM Partnership)","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D6-05"
"HORIZON-CL5-2026-01-D6-08","Accelerating freight transport and logistics digital innovation","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D6-08"
"HORIZON-CL5-2026-01-D6-04","Integration of human driving behaviour in the validation of CCAM systems (CCAM Partnership)","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D6-04"
"HORIZON-CL5-2026-01-D2-04","Integrating advanced materials, cell design and manufacturing development for high-performance batteries aimed at mobility (Batt4EU Partnership)","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D2-04"
"HORIZON-CL5-2026-01-D6-14","Predicting and avoiding road crashes based on Artificial Intelligence (AI) and big data","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D6-14"
"HORIZON-CL5-2026-01-D2-09","Monitoring and Evaluation of the Societal Readiness Pilot","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D2-09"
"HORIZON-CL5-2026-01-D6-10","Integrating inland waterway transport in smart shipping and multimodal logistics chains","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D6-10"
"HORIZON-CL5-2026-01-D6-15","Icing in the context of sustainable aviation","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D6-15"
"HORIZON-CL5-2026-01-D6-03","Next-generation environment perception for real world CCAM operations: Error-free and secure technologies to improve energy-efficiency, cost-effectiveness, and circularity (CCAM Partnership)","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D6-03"
"HORIZON-CL5-2026-01-D6-09","Reliable data and practices to measure and calculate transport emissions in multimodal transport chains","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D6-09"
"HORIZON-CL5-2026-01-D2-05","Accelerated multi-physical and virtual testing for battery aging, reliability, and safety evaluation (Batt4EU Partnership)","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D2-05"
"HORIZON-CL5-2026-01-D6-06","Federated CCAM data exchange platform (CCAM Partnership)","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D6-06"
"HORIZON-CL5-2026-02-D3-07","Improved reliability and optimised operations and maintenance for wind energy systems","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-02-D3-07"
"HORIZON-EIE-2026-01-CONNECT-03","Scaling up deep tech ecosystems","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-EIE-2026-01-CONNECT-03"
"HORIZON-EIE-2026-01-CONNECT-01","European network of national competence centers for innovation procurement","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-EIE-2026-01-CONNECT-01"
"HORIZON-EIE-2026-01-CONNECT-02","Expanding Investment Ecosystems","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-EIE-2026-01-CONNECT-02"
